Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Goody's,Custom,5/16/11,La Jolla,,,,,,8,4,,,,,0.77,3,,2,3,2,3,2,3,2,2,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",x,,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,5/20/16,La Jolla,,,,,,8,3,,,,,0.55,3,,1,2,2,2,2,2,1,2,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,x,,,,,x,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,
Goody's,Beef,5/14/19,La Jolla,,,,,,8,4,,,,,1.47,4,4,4,5,4,4,3,3,3,4,Miko,"It's a bit too spicy for me, but I like the synergy",,,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Chicken,2/3/18,La Jolla,,,,,,7,5,,,,,1.5,4,4,5,4,5,3,4,4,4,4,Michelle,Why does everyone hate this so much,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
